id,Date,Open,High,Low,Close,Volume,Futureprice
1,2021/11/21-23,59135.91,59298.01,58591.27,58668.83,36.54476578,57815.97
2,2021/11/21-22,59532.17,59562.69,58960.99,59135.91,23.48663313,58668.83
3,2021/11/21-21,59672.86,59723.71,59434.91,59532.17,15.93452733,59135.91
4,2021/11/21-20,59362.75,59743.25,59334.16,59672.86,26.86899066,59532.17
5,2021/11/21-19,59501.25,59623.93,59273.94,59362.75,12.22621546,59672.86
6,2021/11/21-18,59511.02,59600.0,59351.18,59501.25,18.49999063,59362.75
7,2021/11/21-17,59919.45,60061.89,59494.37,59511.02,41.36917221,59501.25
8,2021/11/21-16,59286.74,59999.99,59200.53,59919.45,54.61588233,59511.02
9,2021/11/21-15,58969.63,59315.78,58868.4,59286.74,15.01872772,59919.45
10,2021/11/21-14,58893.7,59083.91,58765.53,58969.63,9.140278886,59286.74
11,2021/11/21-13,59116.51,59130.66,58872.7,58893.7,4.786785378,58969.63
12,2021/11/21-12,58770.56,59329.65,58723.85,59116.51,23.27308399,58893.7
13,2021/11/21-11,58865.06,59380.29,58607.83,58770.56,36.26204786,59116.51
14,2021/11/21-10,58939.77,59002.83,58557.45,58865.06,11.88223222,58770.56
15,2021/11/21-9:,58793.61,58998.23,58766.32,58939.77,9.416630962,58865.06
16,2021/11/21-8:,59041.85,59138.09,58720.58,58793.61,17.38212471,58939.77
17,2021/11/21-7:,59250.73,59262.33,59031.86,59041.85,4.931432026,58793.61
18,2021/11/21-6:,59062.65,59262.32,58915.16,59250.73,13.96569196,59041.85
19,2021/11/21-5:,58657.15,59062.65,58627.58,59062.65,25.72031012,59250.73
20,2021/11/21-4:,58741.06,58993.4,58635.88,58657.15,42.74305998,59062.65
21,2021/11/21-3:,59106.25,59232.82,58623.82,58741.06,39.72705166,58657.15
22,2021/11/21-2:,59377.6,59400.0,58774.16,59106.25,64.0268906,58741.06
23,2021/11/21-1:,59411.05,59489.17,59307.58,59377.6,10.85009235,59106.25
24,2021/11/21-0:,59770.47,59810.94,59365.59,59411.05,32.44213133,59377.6
25,2021/11/20-23,59760.36,59886.11,59566.58,59770.47,34.97945452,59411.05
26,2021/11/20-22,59668.35,59765.67,59563.64,59760.36,18.89613668,59770.47
27,2021/11/20-21,59474.04,59693.71,59426.97,59668.35,27.54931744,59760.36
28,2021/11/20-20,59478.54,59600.41,59367.08,59474.04,46.12829846,59668.35
29,2021/11/20-19,59470.81,59557.59,59295.86,59478.54,42.06742418,59474.04
30,2021/11/20-18,57975.65,59688.76,57898.34,59470.81,135.5825912,59478.54
31,2021/11/20-17,57840.89,58012.92,57667.86,57975.65,21.79633684,59470.81
32,2021/11/20-16,57672.63,57941.92,57442.0,57840.89,49.78006906,57975.65
33,2021/11/20-15,58416.84,58476.31,57566.61,57672.63,87.17185794,57840.89
34,2021/11/20-14,58532.93,58752.65,58395.0,58416.84,17.13036554,57672.63
35,2021/11/20-13,58630.59,58729.71,58448.56,58532.93,27.10048497,58416.84
36,2021/11/20-12,58686.91,58876.7,58544.01,58630.59,11.85740895,58532.93
37,2021/11/20-11,58542.84,58719.15,58476.7,58686.91,8.685886701,58630.59
38,2021/11/20-10,58559.74,58815.4,58437.1,58542.84,12.04451439,58686.91
39,2021/11/20-9:,58541.91,58701.02,58458.53,58559.74,6.67108031,58542.84
40,2021/11/20-8:,58467.47,58701.28,58408.43,58541.91,5.703949818,58559.74
41,2021/11/20-7:,58711.13,58760.1,58425.87,58467.47,14.36000698,58541.91
42,2021/11/20-6:,58497.03,58877.84,58396.82,58711.13,22.33797609,58467.47
43,2021/11/20-5:,58568.65,58663.5,58287.46,58497.03,28.0712477,58711.13
44,2021/11/20-4:,58596.83,58638.18,58436.11,58568.65,12.83442565,58497.03
45,2021/11/20-3:,58853.96,58897.31,58520.43,58596.83,23.13308095,58568.65
46,2021/11/20-2:,58883.87,59042.0,58819.42,58853.96,44.6652208,58596.83
47,2021/11/20-1:,58305.33,58929.77,58256.7,58883.87,50.17363288,58853.96
