id,Date,Open,High,Low,Close,Volume,Futureprice
74,2021-11-25-22,58864.45,58936.09,58595.02,58935.08,11.4747775661,58977.69
75,2021-11-25-21,58911.77,59079.56,58760.88,58864.45,18.2027589558,58935.08
76,2021-11-25-20,58933.41,59130.51,58650.82,58911.77,34.6325331329,58864.45
77,2021-11-25-19,59148.42,59305.44,58762.33,58933.41,22.2083330117,58911.77
78,2021-11-25-18,59211.22,59275.35,59070.81,59148.42,13.1578149964,58933.41
79,2021-11-25-17,59038.42,59307.86,59034.55,59211.22,26.49704508,59148.42
80,2021-11-25-16,59104.35,59476.65,58900.0,59038.42,70.0629754437,59211.22
81,2021-11-25-15,58765.62,59177.98,58648.71,59104.35,61.2423822478,59038.42
82,2021-11-25-14,58588.28,58816.65,58520.0,58765.62,25.2313968895,59104.35
83,2021-11-25-13,58719.41,58881.93,58454.79,58588.28,41.5135215628,58765.62
84,2021-11-25-12,58038.68,58740.0,57980.59,58719.41,31.4108948348,58588.28
85,2021-11-25-11,58040.6,58114.15,57904.5,58038.68,6.1688706206,58719.41
86,2021-11-25-10,57827.12,58487.0,57795.76,58040.6,36.301408903,58038.68
87,2021-11-25-09,57634.49,57827.12,57389.25,57827.12,9.2649869789,58040.6
88,2021-11-25-08,57688.59,57948.32,57634.49,57634.49,9.9036081765,57827.12
89,2021-11-25-07,57296.11,57734.23,57295.21,57688.59,16.6214863043,57634.49
90,2021-11-25-06,57159.3,57383.78,57117.16,57296.11,10.6668100977,57688.59
91,2021-11-25-05,57283.27,57320.56,57051.76,57159.3,13.3733316352,57296.11
92,2021-11-25-04,57756.25,57834.97,57145.47,57283.27,29.0621920714,57159.3
93,2021-11-25-03,57751.23,57809.9,57616.56,57756.25,11.3419462633,57283.27
94,2021-11-25-02,57765.16,57887.8,57538.15,57751.23,20.62201883,57756.25
95,2021-11-25-01,58028.14,58272.71,57750.0,57765.16,28.1150899164,57751.23
96,2021-11-25-00,57170.31,58276.58,57145.47,58028.14,50.4768787612,57765.16
97,2021-11-24-23,57029.3,57259.48,56959.73,57170.31,35.4421118311,58028.14
98,2021-11-24-22,57350.61,57455.58,56889.56,57029.3,28.7105054882,57170.31
99,2021-11-24-21,57443.15,57500.0,57185.64,57350.61,59.7530536009,57029.3
100,2021-11-24-20,56869.38,57485.0,56757.54,57443.15,83.1143592611,57350.61
101,2021-11-24-19,56813.7,56901.96,56611.44,56869.38,31.1357890218,57443.15
102,2021-11-24-18,56548.44,57118.47,56546.9,56813.7,82.8787925232,56869.38
103,2021-11-24-17,56652.0,56795.86,56500.45,56548.44,29.0722282639,56813.7
104,2021-11-24-16,56774.88,56902.17,56599.76,56652.0,52.6606451908,56548.44
105,2021-11-24-15,56153.97,57200.55,56121.0,56774.88,141.2545079543,56652.0
106,2021-11-24-14,56055.11,56334.47,55899.0,56153.97,105.9637294077,56774.88
107,2021-11-24-13,56474.02,56887.51,56055.11,56055.11,43.1769828385,56153.97
108,2021-11-24-12,56651.4,56758.14,56441.6,56474.02,24.0450745984,56055.11
109,2021-11-24-11,56458.02,56774.95,56359.0,56651.4,27.2629456901,56474.02
110,2021-11-24-10,56707.64,56883.8,56445.01,56458.02,20.9802872545,56651.4
111,2021-11-24-09,56884.46,57008.89,56690.47,56707.64,30.9495097619,56458.02
112,2021-11-24-08,56535.71,57400.0,56427.25,56884.46,84.3915861817,56707.64
113,2021-11-24-07,56608.78,56725.24,56409.28,56535.71,21.6326684557,56884.46
114,2021-11-24-06,56623.43,56746.9,56252.11,56608.78,17.8951211911,56535.71
115,2021-11-24-05,56592.52,56807.38,56511.15,56623.43,49.8136328191,56608.78
116,2021-11-24-04,56423.5,56781.62,56370.75,56592.52,24.4696734251,56623.43
117,2021-11-24-03,56254.29,56500.84,56246.2,56423.5,83.2822216802,56592.52
118,2021-11-24-02,57043.48,57133.63,56172.6,56254.29,85.0729981076,56423.5
119,2021-11-24-01,57533.25,57577.33,57043.48,57043.48,63.1959286484,56254.29
120,2021-11-24-00,57575.48,57742.69,57452.79,57533.25,34.4003003454,57043.48
121,2021-11-23-23,57595.24,57762.42,57486.45,57575.48,22.5530676009,57533.25
122,2021-11-23-22,57705.63,57746.97,57470.03,57595.24,19.7009413543,57575.48
123,2021-11-23-21,57882.26,57882.26,57544.04,57705.63,96.4183784313,57595.24
124,2021-11-23-20,57782.07,57882.26,57390.12,57882.26,88.3428533824,57705.63
125,2021-11-23-19,57446.16,57842.31,57217.96,57782.07,98.4936415951,57882.26
126,2021-11-23-18,57269.79,57579.61,57139.64,57446.16,66.4561721728,57782.07
