id,Date,Open,High,Low,Close,Volume,Futureprice
8470,2021-11-23-02-50,56739.43,56739.43,56701.87,56701.87,0.15486506,56703.39
8471,2021-11-23-02-49,56804.55,56804.55,56774.97,56774.97,0.71662149,56701.87
8472,2021-11-23-02-48,56741.8,56782.26,56741.8,56764.61,1.06074382,56774.97
8473,2021-11-23-02-47,56694.41,56694.41,56694.41,56694.41,0.04408476,56764.61
8474,2021-11-23-02-46,56751.88,56751.88,56698.0,56698.0,0.60179838,56694.41
8475,2021-11-23-02-45,56773.09,56773.09,56730.0,56740.69,0.23324344,56698.0
8476,2021-11-23-02-44,56808.19,56808.19,56745.9,56796.81,8.59987702,56740.69
8477,2021-11-23-02-43,56751.92,56761.91,56739.6,56757.56,0.02745666,56796.81
8478,2021-11-23-02-42,56786.14,56786.14,56748.96,56765.54,0.01666,56757.56
8479,2021-11-23-02-41,56811.81,56811.81,56774.86,56779.85,0.4731709,56765.54
8480,2021-11-23-02-40,56830.08,56845.12,56794.07,56794.07,0.16476895,56779.85
8481,2021-11-23-02-39,56806.81,56806.81,56806.81,56806.81,6.6E-4,56794.07
8482,2021-11-23-02-38,56810.01,56810.01,56802.88,56802.88,0.00866,56806.81
8483,2021-11-23-02-37,56794.5,56804.91,56794.5,56804.91,0.13146255,56802.88
8484,2021-11-23-02-36,56837.81,56837.81,56794.5,56794.5,0.01116646,56804.91
8485,2021-11-23-02-35,56869.86,56869.86,56860.92,56866.61,0.30932,56794.5
8486,2021-11-23-02-34,56866.92,56905.63,56866.92,56871.26,0.06855978,56866.61
8487,2021-11-23-02-33,56821.44,56871.06,56818.61,56866.92,0.02989485,56871.26
8488,2021-11-23-02-32,56839.31,56876.73,56839.31,56871.62,1.84239,56866.92
8489,2021-11-23-02-31,56841.79,56862.18,56841.79,56862.18,0.00312,56871.62
8490,2021-11-23-02-30,56980.0,56991.73,56854.62,56867.66,0.81105303,56862.18
8491,2021-11-23-02-29,56925.18,56990.0,56920.68,56958.27,4.46922102,56867.66
8492,2021-11-23-02-28,56882.38,56932.07,56882.38,56932.07,0.62323585,56958.27
8493,2021-11-23-02-27,56878.08,56894.08,56851.18,56859.49,3.75909,56932.07
8494,2021-11-23-02-26,56815.21,56936.2,56815.21,56882.26,2.78483378,56859.49
8495,2021-11-23-02-25,56798.7,56815.21,56794.74,56804.23,0.02408,56882.26
8496,2021-11-23-02-24,56848.79,56848.79,56824.6,56824.6,0.00461941,56804.23
8497,2021-11-23-02-23,56775.05,56826.67,56775.05,56826.67,0.10544294,56824.6
8498,2021-11-23-02-22,56710.7,56826.55,56710.7,56826.55,0.30922874,56826.67
8499,2021-11-23-02-21,56682.21,56682.21,56677.08,56677.08,0.02236962,56826.55
8500,2021-11-23-02-20,56709.81,56743.61,56698.56,56698.56,0.7881617,56677.08
8501,2021-11-23-02-19,56706.73,56709.81,56706.73,56709.81,0.51415775,56698.56
8502,2021-11-23-02-18,56690.97,56748.65,56690.97,56717.03,0.06465,56709.81
8503,2021-11-23-02-17,56780.54,56780.54,56727.55,56733.04,0.06362,56717.03
8504,2021-11-23-02-16,56753.05,56816.78,56753.05,56809.97,2.46559019,56733.04
8505,2021-11-23-02-15,56698.37,56751.35,56698.37,56751.18,0.03978,56809.97
8506,2021-11-23-02-14,56707.74,56707.74,56681.22,56683.6,1.0992129,56751.18
8507,2021-11-23-02-13,56724.68,56724.68,56685.83,56703.54,0.23401968,56683.6
8508,2021-11-23-02-12,56734.98,56735.45,56673.12,56673.12,3.73608,56703.54
8509,2021-11-23-02-11,56747.87,56747.87,56693.61,56697.82,0.16091412,56673.12
8510,2021-11-23-02-10,56829.75,56829.75,56803.02,56803.02,0.13496454,56697.82
8511,2021-11-23-02-09,56863.82,56883.16,56828.94,56855.21,0.09240401,56803.02
8512,2021-11-23-02-08,56860.06,56863.56,56859.59,56863.56,0.02220227,56855.21
8513,2021-11-23-02-07,56897.15,56897.15,56855.21,56855.21,0.04227,56863.56
8514,2021-11-23-02-06,56932.81,56932.81,56901.26,56901.26,0.00389572,56855.21
8515,2021-11-23-02-05,56903.04,56952.67,56877.38,56952.67,0.28712697,56901.26
8516,2021-11-23-02-04,56835.16,56917.87,56835.16,56917.87,0.18039111,56952.67
8517,2021-11-23-02-03,56818.52,56848.18,56818.52,56844.45,0.80169,56917.87
8518,2021-11-23-02-02,56850.98,56850.98,56800.0,56823.96,4.02924282,56844.45
8519,2021-11-23-02-01,56831.47,56872.81,56831.47,56850.98,0.07593926,56823.96
8520,2021-11-23-02-00,56890.96,56924.28,56854.7,56854.7,0.21239819,56850.98
8521,2021-11-23-01-59,56942.2,56960.25,56867.11,56906.78,1.46153425,56854.7
8522,2021-11-23-01-58,56850.69,56953.05,56850.69,56951.61,0.02005,56906.78
8523,2021-11-23-01-57,56890.06,56890.73,56845.72,56845.72,0.09538085,56951.61
8524,2021-11-23-01-56,56948.39,56948.39,56897.39,56929.21,0.1521244,56845.72
8525,2021-11-23-01-55,56927.3,56955.54,56927.3,56955.54,0.022248,56929.21
8526,2021-11-23-01-54,56895.21,56958.58,56867.26,56946.62,0.81634231,56955.54
8527,2021-11-23-01-53,56821.82,56920.81,56821.82,56898.61,1.7761786,56946.62
