id,Date,Open,High,Low,Close,Volume,mean_degree,num_tx,mean_tx_value,max_tx_value,min_tx_value,new_address,Futureprice
5520,2021-11-25-04-00,57797.16,57855.27,57797.16,57829.03,0.5064984,0.0,0,0.0,0,0,0,57798.19
5718,2021-11-25-00-42,57775.35,57839.0,57775.35,57815.8,4.75564163,0.0,0,0.0,0,0,0,57933.09
5799,2021-11-24-23-21,57099.27,57099.27,57072.77,57084.06,0.1302,0.0,0,0.0,0,0,0,57074.66
5951,2021-11-24-20-49,57244.27,57244.27,57101.23,57137.86,2.39871163,0.0,0,0.0,0,0,0,57134.17
6134,2021-11-24-17-46,56606.29,56606.29,56606.29,56606.29,0.01107768,433.06620209059236,286,5.089471786170213E7,1859374702,5332,414,56640.34
6530,2021-11-24-11-10,56481.56,56501.64,56465.83,56472.35,1.37109078,89.72873650312559,3277,5.904485352804033E7,2059547335,0,5863,56540.15
6645,2021-11-24-09-15,56819.32,56819.32,56819.32,56819.32,0.0,0.0,0,0.0,0,0,0,56819.32
7248,2021-11-23-23-12,57543.05,57543.05,57528.08,57528.08,0.1999161,0.0,0,0.0,0,0,0,57557.88
7365,2021-11-23-21-15,57615.92,57654.16,57615.92,57626.66,0.25188246,0.0,0,0.0,0,0,0,57671.46
7445,2021-11-23-19-55,57635.84,57651.06,57587.92,57650.96,4.05302002,0.0,0,0.0,0,0,0,57628.84
7633,2021-11-23-16-47,57269.77,57378.12,57246.13,57349.89,3.71994222,0.0,0,0.0,0,0,0,57330.51
8591,2021-11-23-00-49,56396.3,56429.59,56396.3,56429.59,0.63832332,0.0,0,0.0,0,0,0,56483.9
8719,2021-11-22-22-41,56545.23,56567.87,56525.31,56545.43,0.87625271,0.0,0,0.0,0,0,0,56633.74
8788,2021-11-22-21-32,55966.76,56059.37,55966.76,56059.37,0.83004936,0.0,0,0.0,0,0,0,56323.0
9150,2021-11-22-15-30,58230.77,58237.64,58187.17,58213.27,0.14494,0.0,0,0.0,0,0,0,58168.56
9238,2021-11-22-14-02,58979.8,59021.3,58923.7,59021.3,0.51749187,0.0,0,0.0,0,0,0,58972.55
9386,2021-11-22-11-34,57397.32,57421.9,57397.32,57421.9,0.00504029,495.8664406779661,944,7.26714394002181E7,2048194299,872,1243,57405.12
9626,2021-11-22-07-34,57517.3,57554.85,57517.3,57554.85,0.19278597,0.0,0,0.0,0,0,0,57553.6
469,2021-11-28-16-11,54232.03,54232.03,54165.41,54165.41,0.44416165,100.95508669312721,3106,8.853704977659574E7,2028206397,0,7458,54188.88
668,2021-11-28-12-52,54441.26,54467.41,54441.26,54455.02,0.03357,0.0,0,0.0,0,0,0,54465.63
867,2021-11-28-09-33,54279.65,54279.65,54279.65,54279.65,0.00195,0.0,0,0.0,0,0,0,54279.65
1424,2021-11-28-00-16,54659.4,54659.4,54659.4,54659.4,0.00167,0.0,0,0.0,0,0,0,54806.63
1780,2021-11-27-18-20,54795.27,54795.27,54766.05,54766.05,0.02006,0.0,0,0.0,0,0,0,54798.61
2226,2021-11-27-10-54,54766.33,54871.2,54766.33,54871.2,5.94968384,0.0,0,0.0,0,0,0,54840.85
2352,2021-11-27-08-48,55108.28,55126.6,55085.84,55091.91,0.27375826,0.0,0,0.0,0,0,0,55096.42
2433,2021-11-27-07-27,54345.01,54345.01,54331.76,54331.76,0.08437483,0.0,0,0.0,0,0,0,54336.84
2523,2021-11-27-05-57,54390.33,54390.33,54365.86,54365.86,0.035917,59.56200859628892,2821,2.3143235525641024E7,1969715521,732,3600,54314.66
2743,2021-11-27-02-17,54201.82,54201.82,54173.86,54187.39,0.20324,0.0,0,0.0,0,0,0,54211.5
2745,2021-11-27-02-15,54308.92,54326.38,54258.29,54306.2,4.45804738,0.0,0,0.0,0,0,0,54220.69
3117,2021-11-26-20-03,54268.15,54313.45,54243.55,54268.85,4.18602202,0.0,0,0.0,0,0,0,54308.35
3251,2021-11-26-17-49,54502.13,54502.13,54426.61,54455.81,1.70058439,0.0,0,0.0,0,0,0,54326.05
3585,2021-11-26-12-15,53754.95,54006.2,53754.95,54001.47,11.31024722,0.0,0,0.0,0,0,0,54078.61
3804,2021-11-26-08-36,55504.0,55504.0,55053.48,55091.68,33.55281977,0.0,0,0.0,0,0,0,54997.35
3815,2021-11-26-08-25,56094.21,56106.01,55827.83,55945.21,13.65270094,0.0,0,0.0,0,0,0,55569.08
3836,2021-11-26-08-04,56849.85,56885.43,56777.95,56777.95,11.81415337,0.0,0,0.0,0,0,0,56758.78
3929,2021-11-26-06-31,57701.41,57730.28,57634.16,57668.57,4.90059146,0.0,0,0.0,0,0,0,57701.66
4177,2021-11-26-02-23,58552.63,58587.27,58552.63,58574.24,0.14842835,0.0,0,0.0,0,0,0,58526.93
