Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.63754E+12,2021/11/21 23:00,BTCUSD,59135.91,59298.01,58591.27,58668.83,36.54476578
1.63753E+12,2021/11/21 22:00,BTCUSD,59532.17,59562.69,58960.99,59135.91,23.48663313
1.63753E+12,2021/11/21 21:00,BTCUSD,59672.86,59723.71,59434.91,59532.17,15.93452733
1.63752E+12,2021/11/21 20:00,BTCUSD,59362.75,59743.25,59334.16,59672.86,26.86899066
1.63752E+12,2021/11/21 19:00,BTCUSD,59501.25,59623.93,59273.94,59362.75,12.22621546
1.63752E+12,2021/11/21 18:00,BTCUSD,59511.02,59600,59351.18,59501.25,18.49999063
1.63751E+12,2021/11/21 17:00,BTCUSD,59919.45,60061.89,59494.37,59511.02,41.36917221
1.63751E+12,2021/11/21 16:00,BTCUSD,59286.74,59999.99,59200.53,59919.45,54.61588233
1.63751E+12,2021/11/21 15:00,BTCUSD,58969.63,59315.78,58868.4,59286.74,15.01872772
1.6375E+12,2021/11/21 14:00,BTCUSD,58893.7,59083.91,58765.53,58969.63,9.140278886
1.6375E+12,2021/11/21 13:00,BTCUSD,59116.51,59130.66,58872.7,58893.7,4.786785378
1.6375E+12,2021/11/21 12:00,BTCUSD,58770.56,59329.65,58723.85,59116.51,23.27308399
1.63749E+12,2021/11/21 11:00,BTCUSD,58865.06,59380.29,58607.83,58770.56,36.26204786
1.63749E+12,2021/11/21 10:00,BTCUSD,58939.77,59002.83,58557.45,58865.06,11.88223222
1.63749E+12,2021/11/21 9:00,BTCUSD,58793.61,58998.23,58766.32,58939.77,9.416630962
1.63748E+12,2021/11/21 8:00,BTCUSD,59041.85,59138.09,58720.58,58793.61,17.38212471
1.63748E+12,2021/11/21 7:00,BTCUSD,59250.73,59262.33,59031.86,59041.85,4.931432026
1.63747E+12,2021/11/21 6:00,BTCUSD,59062.65,59262.32,58915.16,59250.73,13.96569196
1.63747E+12,2021/11/21 5:00,BTCUSD,58657.15,59062.65,58627.58,59062.65,25.72031012
1.63747E+12,2021/11/21 4:00,BTCUSD,58741.06,58993.4,58635.88,58657.15,42.74305998
1.63746E+12,2021/11/21 3:00,BTCUSD,59106.25,59232.82,58623.82,58741.06,39.72705166
1.63746E+12,2021/11/21 2:00,BTCUSD,59377.6,59400,58774.16,59106.25,64.0268906
1.63746E+12,2021/11/21 1:00,BTCUSD,59411.05,59489.17,59307.58,59377.6,10.85009235
1.63745E+12,2021/11/21 0:00,BTCUSD,59770.47,59810.94,59365.59,59411.05,32.44213133
1.63745E+12,2021/11/20 23:00,BTCUSD,59760.36,59886.11,59566.58,59770.47,34.97945452
1.63745E+12,2021/11/20 22:00,BTCUSD,59668.35,59765.67,59563.64,59760.36,18.89613668
